# data to see the effect of the paramenter N_tilde on the population
# size in simulations with dynamic population
#
# N_tilde: growing logistically starting from 10000
# fitness: static increasing
# number of genotipic classes: 4
# 
t,N_tilde,N
0,10000,10000
0.02,9999.000199970005,9992.0
0.04,9999.200161977216,9965.0
0.06,9999.40012798291,9966.0
0.08,9999.600097987162,9992.0
0.1,9999.800071990054,9990.0
0.12000000000000001,10000.000049991668,9978.0
0.14,10000.20003199208,9969.0
0.16,10000.400017991373,9937.0
0.18,10000.600007989626,9935.0
0.19999999999999998,10000.80000198692,9923.0
0.21999999999999997,10000.999999983333,9897.0
0.23999999999999996,10001.200001978945,9903.0
0.25999999999999995,10001.400007973838,9907.0
0.27999999999999997,10001.600017968089,9905.0
0.3,10001.80003196178,9925.0
0.32,10002.000049954993,9942.0
0.34,10002.200071947806,9908.0
0.36000000000000004,10002.400097940295,9935.0
0.38000000000000006,10002.600127932545,9944.0
0.4000000000000001,10002.800161924635,9988.0
0.4200000000000001,10003.000199916647,9986.0
0.4400000000000001,10003.200241908653,9975.0
0.46000000000000013,10003.40028790074,10009.0
0.48000000000000015,10003.60033789299,9984.0
0.5000000000000001,10003.800391885476,10004.0
0.5200000000000001,10004.000449878282,10023.0
0.5400000000000001,10004.200511871486,10031.0
0.5600000000000002,10004.400577865174,10043.0
0.5800000000000002,10004.600647859417,10044.0
0.6000000000000002,10004.8007218543,10035.0
0.6200000000000002,10005.000799849902,10057.0
0.6400000000000002,10005.200881846305,10057.0
0.6600000000000003,10005.400967843587,10045.0
0.6647308988407392,10005.601057841825,10044.0
0.6847308988407392,10005.648388704007,10045.0
0.7047308988407393,10005.848483649723,10044.0
0.7101385788447413,10006.048582596579,10059.0
0.7301385788447413,10006.102686837454,10061.0
0.7501385788447413,10006.302790867405,10045.0
0.7701385788447414,10006.502898898678,10062.0
0.7901385788447414,10006.70301093135,10061.0
0.8101385788447414,10006.903126965499,10023.0
0.8301385788447414,10007.10324700121,10027.0
0.8501385788447414,10007.303371038559,10053.0
0.8701385788447414,10007.50349907763,10032.0
0.8901385788447415,10007.703631118498,10058.0
0.8984952961791377,10007.903767161248,10045.0
0.910909739802061,10007.987392363555,10054.0
0.930909739802061,10008.11162429551,10029.0
0.9509097398020611,10008.311768496571,10029.0
0.9709097398020611,10008.511916699756,10021.0
0.9909097398020611,10008.71206890514,10026.0
1.010909739802061,10008.91222511281,10064.0
1.030909739802061,10009.112385322844,10060.0
1.050909739802061,10009.312549535318,10065.0
1.070909739802061,10009.512717750316,10036.0
1.090909739802061,10009.712889967917,10020.0
1.110909739802061,10009.913066188199,10029.0
1.130909739802061,10010.113246411247,10023.0
1.1509097398020611,10010.313430637138,10061.0
1.1709097398020611,10010.51361886595,10095.0
1.1909097398020612,10010.713811097765,10078.0
1.2109097398020612,10010.914007332663,10061.0
1.2309097398020612,10011.114207570725,10040.0
1.2509097398020612,10011.31441181203,10039.0
1.2709097398020612,10011.514620056658,10066.0
1.2909097398020613,10011.714832304688,10066.0
1.3109097398020613,10011.915048556202,10045.0
1.3309097398020613,10012.115268811282,10041.0
1.3509097398020613,10012.31549307,9997.0
1.3709097398020613,10012.515721332446,9962.0
1.3909097398020613,10012.715953598694,9960.0
1.3979736653595114,10012.916189868823,9960.0
1.4179736653595114,10012.986913530962,9962.0
1.4379736653595114,10013.187155219259,9926.0
1.4522262194874755,10013.387400911628,9924.0
1.4722262194874756,10013.53010398356,9911.0
1.4922262194874756,10013.7303565336,9930.0
1.5122262194874756,10013.93061308793,9940.0
1.5139974322081295,10014.130873646627,9933.0
1.5339974322081296,10014.148609042099,9910.0
1.5539974322081296,10014.348873959887,9922.0
1.5739974322081296,10014.549142882212,9933.0
1.5939974322081296,10014.749415809149,9954.0
1.6139974322081296,10014.949692740787,9950.0
1.6339974322081297,10015.1499736772,9961.0
1.6539974322081297,10015.35025861847,9954.0
1.6739974322081297,10015.550547564673,9972.0
1.6939974322081297,10015.750840515897,10024.0
1.7139974322081297,10015.951137472215,10038.0
1.7339974322081297,10016.151438433713,10051.0
1.7420758624969996,10016.351743400464,10054.0
1.7620758624969997,10016.432652021644,10049.0
1.7820758624969997,10016.632962611597,10059.0
1.7978767733419783,10016.833277206999,10032.0
1.8178767733419783,10016.991537692486,10024.0
1.8378767733419783,10017.191859458026,10002.0
1.8578767733419783,10017.392185229239,10010.0
1.8625531726428866,10017.592515006201,10004.0
1.8825531726428866,10017.639356685473,9971.0
1.9025531726428866,10017.839691404924,9965.0
1.9124772963772854,10018.04003013031,9994.0
1.9297366334463737,10018.139440932366,10010.0
1.9497366334463737,10018.312331547459,10010.0
1.9686279876844925,10018.512679723846,10005.0
1.9886279876844926,10018.70192582165,9985.0
2.0086279876844926,10018.90228178844,9973.0
2.0286279876844926,10019.102641761585,9990.0
2.0486279876844926,10019.303005741169,10018.0
