# data to see the effect of the paramenter N_tilde on the population
# size in simulations with spatial algorithm
#
# N_tilde: constant at 10000
# fitness: static increasing
# number of genotipic classes: 4
# resolution of the 'world': 16
# 
t,N_tilde,N
0.02,10000,9992.0
0.04,10000,9968.0
0.06,10000,9983.0
0.08,10000,9975.0
0.1,10000,9993.0
0.12000000000000001,10000,10019.0
0.14,10000,10002.0
0.16,10000,10017.0
0.18,10000,10041.0
0.19999999999999998,10000,10030.0
0.21999999999999997,10000,10019.0
0.23999999999999996,10000,10008.0
0.25999999999999995,10000,10015.0
0.27999999999999997,10000,9995.0
0.3,10000,9984.0
0.32,10000,9977.0
0.34,10000,10020.0
0.36000000000000004,10000,10049.0
0.38000000000000006,10000,10058.0
0.4000000000000001,10000,10037.0
0.4200000000000001,10000,10037.0
0.4400000000000001,10000,10047.0
0.46000000000000013,10000,10039.0
0.48000000000000015,10000,10052.0
0.5000000000000001,10000,10085.0
0.5200000000000001,10000,10060.0
0.5400000000000001,10000,10029.0
0.5600000000000002,10000,10008.0
0.5800000000000002,10000,10026.0
0.6000000000000002,10000,10023.0
0.6200000000000002,10000,10028.0
0.6400000000000002,10000,10026.0
0.6600000000000003,10000,10014.0
0.6800000000000003,10000,10024.0
0.7000000000000003,10000,10035.0
0.7200000000000003,10000,10034.0
0.7400000000000003,10000,10025.0
0.7600000000000003,10000,10062.0
0.7800000000000004,10000,10043.0
0.8000000000000004,10000,10026.0
0.8200000000000004,10000,10032.0
0.8400000000000004,10000,10049.0
0.8600000000000004,10000,10076.0
0.8800000000000004,10000,10073.0
0.9000000000000005,10000,10062.0
0.9200000000000005,10000,10047.0
0.9400000000000005,10000,10035.0
0.9600000000000005,10000,10061.0
0.9800000000000005,10000,10059.0
1.0000000000000004,10000,10061.0
1.0200000000000005,10000,10049.0
1.0400000000000005,10000,10065.0
1.0600000000000005,10000,10055.0
1.0800000000000005,10000,10081.0
1.1000000000000005,10000,10078.0
1.1200000000000006,10000,10075.0
1.1400000000000006,10000,10069.0
1.1600000000000006,10000,10082.0
1.1721860378781201,10000,10089.0
1.1921860378781202,10000,10097.0
1.2121860378781202,10000,10082.0
1.2232465099629164,10000,10063.0
1.2432465099629164,10000,10072.0
1.2632465099629164,10000,10061.0
1.2832465099629164,10000,10085.0
1.3032465099629165,10000,10089.0
1.3232465099629165,10000,10079.0
1.3432465099629165,10000,10048.0
1.3632465099629165,10000,10021.0
1.3832465099629165,10000,10047.0
1.4032465099629166,10000,10067.0
1.4232465099629166,10000,10083.0
1.4432465099629166,10000,10099.0
1.4632465099629166,10000,10082.0
1.4832465099629166,10000,10079.0
1.5032465099629166,10000,10073.0
1.5232465099629167,10000,10040.0
1.5432465099629167,10000,10026.0
1.5632465099629167,10000,10025.0
1.5832465099629167,10000,9987.0
1.6032465099629167,10000,9984.0
1.6232465099629168,10000,9989.0
1.6432465099629168,10000,9983.0
1.6632465099629168,10000,9974.0
1.6832465099629168,10000,9957.0
1.7032465099629168,10000,9937.0
