# data to see the effect of the paramenter N_tilde on the population
# size in simulations with dynamic population
#
# N_tilde: constant at 10000
# fitness: static increasing
# number of genotipic classes: 4
# 
t,N_tile,N
10000,10000
0.02,10000,10045.0
0.04,10000,10076.0
0.06,10000,10099.0
0.08,10000,10071.0
0.1,10000,10036.0
0.12000000000000001,10000,10013.0
0.14,10000,10020.0
0.16,10000,10013.0
0.18,10000,10012.0
0.19999999999999998,10000,10024.0
0.21999999999999997,10000,10039.0
0.23999999999999996,10000,10051.0
0.25999999999999995,10000,10037.0
0.27999999999999997,10000,10002.0
0.3,10000,9990.0
0.32,10000,9991.0
0.34,10000,9987.0
0.36000000000000004,10000,10021.0
0.38000000000000006,10000,10048.0
0.3963939141352273,10000,10038.0
0.4163939141352273,10000,10054.0
0.4363939141352273,10000,10082.0
0.45639391413522734,10000,10083.0
0.47639391413522736,10000,10064.0
0.4963939141352274,10000,10065.0
0.5163939141352274,10000,10065.0
0.5363939141352274,10000,10081.0
0.5563939141352274,10000,10105.0
0.5763939141352274,10000,10093.0
0.5963939141352275,10000,10099.0
0.6163939141352275,10000,10124.0
0.6363939141352275,10000,10096.0
0.6563939141352275,10000,10049.0
0.6763939141352275,10000,10050.0
0.6963939141352276,10000,10051.0
0.7163939141352276,10000,10016.0
0.7363939141352276,10000,10010.0
0.7563939141352276,10000,9984.0
0.7763939141352276,10000,9995.0
0.7963939141352276,10000,10000.0
0.8163939141352277,10000,9959.0
0.8363939141352277,10000,9938.0
0.8563939141352277,10000,9951.0
0.8763939141352277,10000,9963.0
0.8963939141352277,10000,10006.0
0.9163939141352277,10000,9984.0
0.9363939141352278,10000,9974.0
0.9563939141352278,10000,9964.0
0.9763939141352278,10000,9939.0
0.9963939141352278,10000,9941.0
1.0163939141352278,10000,9996.0
1.0363939141352279,10000,9977.0
1.0563939141352279,10000,9979.0
1.076393914135228,10000,9954.0
1.096393914135228,10000,9950.0
1.116393914135228,10000,9945.0
1.136393914135228,10000,9946.0
1.156393914135228,10000,9955.0
1.176393914135228,10000,9929.0
1.196393914135228,10000,9898.0
1.216393914135228,10000,9913.0
1.236393914135228,10000,9941.0
1.256393914135228,10000,9942.0
1.276393914135228,10000,9963.0
1.296393914135228,10000,9961.0
1.316393914135228,10000,9964.0
1.3363939141352281,10000,9981.0
1.3563939141352281,10000,9981.0
1.3763939141352282,10000,10015.0
1.3963939141352282,10000,10023.0
1.4163939141352282,10000,10026.0
1.4363939141352282,10000,10016.0
1.4563939141352282,10000,10042.0
1.4763939141352282,10000,10041.0
1.4963939141352283,10000,10077.0
1.5163939141352283,10000,10072.0
1.5363939141352283,10000,10053.0
1.5563939141352283,10000,10042.0
1.5763939141352283,10000,10036.0
1.5963939141352284,10000,10018.0
1.6163939141352284,10000,10030.0
1.6363939141352284,10000,10030.0
1.6563939141352284,10000,10037.0
1.6763939141352284,10000,10027.0
1.6963939141352284,10000,10028.0
1.7163939141352285,10000,9997.0
1.7363939141352285,10000,9980.0
1.7563939141352285,10000,9970.0
1.7763939141352285,10000,9963.0
1.7963939141352285,10000,9974.0
1.8163939141352285,10000,9946.0
1.8363939141352286,10000,9957.0
1.8563939141352286,10000,9958.0
1.8763939141352286,10000,9982.0
1.8963939141352286,10000,9983.0
1.9163939141352286,10000,9970.0
1.9363939141352287,10000,9968.0
1.9563939141352287,10000,9955.0
1.9763939141352287,10000,9928.0
1.9963939141352287,10000,9912.0
2.0163939141352287,10000,9915.0
2.0363939141352287,10000,9900.0
2.0563939141352288,10000,9860.0
2.076393914135229,10000,9863.0
