# data to see the effect of the paramenter N_tilde on the population
# size in simulations with spatial algorithm
#
# N_tilde: constant at 10000
# fitness: static increasing
# number of genotipic classes: 4
# resolution of the 'world': 16
# 
t,N_tilde,N
0.02,10000,9983.0
0.04,10000,9931.0
0.06,10000,9938.0
0.08,10000,9867.0
0.1,10000,9904.0
0.12000000000000001,10000,9997.0
0.14,10000,9966.0
0.16,10000,10082.0
0.16208062797890774,10000,10056.0
0.18208062797890773,10000,10049.0
0.20208062797890772,10000,9920.0
0.2220806279789077,10000,9869.0
0.2420806279789077,10000,9897.0
0.25089240071734,10000,9997.0
0.25517959281698616,10000,10066.0
0.2619057882251816,10000,9971.0
0.28190578822518164,10000,9772.0
0.28828585161823667,10000,9879.0
0.3082858516182367,10000,9865.0
0.3209152125807934,10000,9874.0
0.34091521258079344,10000,9996.0
0.3501506646438887,10000,10022.0
0.36004984372985516,10000,10001.0
0.36205228744366114,10000,9947.0
0.3714076180848629,10000,9900.0
0.38091301525137994,10000,9829.0
0.38823680740262595,10000,9883.0
0.3971977973687001,10000,9789.0
0.3982470988994993,10000,9802.0
0.40493708784434507,10000,9840.0
0.4117999916082436,10000,9868.0
0.41456855495352407,10000,9862.0
0.4345685549535241,10000,9848.0
0.4442268898800604,10000,9877.0
0.451130818602504,10000,9894.0
0.455236632284413,10000,9979.0
0.4698930778248971,10000,9972.0
0.4823548895675559,10000,10050.0
0.4834980492994612,10000,10057.0
0.4845906776488398,10000,10087.0
0.4854237669890983,10000,10088.0
0.4945514505265539,10000,10071.0
0.5038518116412702,10000,10126.0
0.5053092655427429,10000,10169.0
0.5084886036216842,10000,10206.0
0.5165364107104178,10000,10243.0
0.5287766860408147,10000,10260.0
0.5330931842915548,10000,10247.0
0.5358878750247033,10000,10237.0
0.53864987847938,10000,10193.0
0.543540061832669,10000,10139.0
0.5573333082781637,10000,10080.0
0.5773333082781638,10000,10097.0
0.581653149929591,10000,10150.0
0.5852640127214774,10000,10167.0
0.5883363530960972,10000,10149.0
0.5913813637691948,10000,10208.0
0.5945030512511955,10000,10155.0
0.6043091509703783,10000,10074.0
0.6064638557243127,10000,10098.0
0.6168648132165326,10000,10092.0
0.6368648132165327,10000,10039.0
0.6401559682559477,10000,10079.0
0.6436531286268818,10000,10076.0
0.6468194423327758,10000,10075.0
0.6668194423327758,10000,10019.0
0.670951184158028,10000,9977.0
0.6794426602218466,10000,10070.0
0.6891440388080731,10000,9987.0
0.694772723975788,10000,10050.0
0.7014950555816624,10000,10037.0
0.7031508782611043,10000,10031.0
0.705301513247733,10000,10034.0
0.7089647240071413,10000,10010.0
0.7090335638988025,10000,10008.0
0.7290335638988025,10000,9989.0
0.7333029608940492,10000,9996.0
0.7382639931932953,10000,10009.0
0.7483308449111418,10000,9926.0
0.7557280505911901,10000,9945.0
0.7566302872927111,10000,9939.0
0.7620815266868535,10000,9957.0
0.7627067856798465,10000,9966.0
0.7632932318272444,10000,9992.0
0.7652146711661154,10000,9996.0
0.7698679550224306,10000,10023.0
0.772366946631152,10000,9987.0
0.7860957983712111,10000,9831.0
0.786836180186347,10000,9827.0
0.792184364411976,10000,9761.0
0.8055857541728735,10000,9793.0
0.8067493948772596,10000,9807.0
0.8077131962084569,10000,9778.0
0.8091123041399977,10000,9782.0
0.8104254163981368,10000,9765.0
0.8126867877247966,10000,9783.0
0.8133404086674677,10000,9797.0
0.8148803744379403,10000,9798.0
0.8198589520243156,10000,9829.0
0.8227368538464308,10000,9854.0
0.8305510237549044,10000,9856.0
0.8505510237549044,10000,9848.0
0.8624712097977875,10000,10043.0
0.8656088621368729,10000,10009.0
0.885608862136873,10000,10108.0
0.8860875658191457,10000,10105.0
0.9009380208899227,10000,10039.0
0.9117606143239143,10000,9978.0
0.9123705333898444,10000,9997.0
0.9131920367715183,10000,9994.0
0.9152906861951717,10000,9987.0
0.9173857933964537,10000,9963.0
0.9200138236313234,10000,9929.0
0.9351155644144341,10000,10011.0
0.9394564848211164,10000,9998.0
0.9409560360576354,10000,9995.0
0.9465702558643702,10000,9972.0
0.9516873064055532,10000,9996.0
0.9568529257386807,10000,10002.0
0.9573662761457298,10000,10009.0
0.9591847870909267,10000,9976.0
0.959972396745516,10000,9982.0
0.9651182262555822,10000,10027.0
0.9851182262555822,10000,10129.0
0.9861307928173476,10000,10094.0
0.9890513725320321,10000,10097.0
0.9933424298599677,10000,10112.0
1.0040840355560714,10000,10135.0
1.0057308597081867,10000,10126.0
1.0066811912312523,10000,10112.0
1.0086691224630076,10000,10111.0
1.0122866908006738,10000,10124.0
1.0218758020191079,10000,10141.0
1.0271417992999616,10000,10208.0
1.0277836191812606,10000,10181.0
1.0360262932999615,10000,10184.0
1.041822394721396,10000,10234.0
1.0462148277697811,10000,10224.0
1.062738051419507,10000,10039.0
1.0717784109812156,10000,10095.0
1.0777835006187844,10000,10105.0
1.0827608757958966,10000,10040.0
1.1027608757958967,10000,10043.0
1.1164451921991034,10000,10078.0
1.1188599924199882,10000,10104.0
