# data for comparison between different fitness landscapes with
# hybrid algorithm
#
# number of genotipic classes: 4
# population size: 10000
# 
flat_simul,flat_elpsd,flat_state,static_inc_simul,static_inc_elpsd,static_inc_state,static_dec_simul,static_dec_elpsd,static_dec_state,static_mount_simul,static_mount_elpsd,static_mount_state,dynamic_simul,dynamic_elpsd,dynamic_state
6975.816767766972,33.578513622283936,[6.258e+03 3.371e+03 3.700e+02 0.000e+00 1.000e+00],570.9484990186651,2.622603416442871,[7.190e+02 3.801e+03 5.325e+03 1.540e+02 1.000e+00],not_converge,297.9752354621887,[9948.   52.    0.    0.    0.],754.457053947895,3.4224443435668945,[0.000e+00 1.580e+02 9.668e+03 1.730e+02 1.000e+00],110.85593248281175,0.6750261783599854,[5.180e+02 1.000e+00 8.499e+03 9.810e+02 1.000e+00]
4416.898230721352,21.60563826560974,[5.067e+03 4.411e+03 4.780e+02 4.300e+01 1.000e+00],1343.2830399324193,6.415712833404541,[0.000e+00 2.850e+02 9.687e+03 2.700e+01 1.000e+00],not_converge,269.53283309936523,[9688.  312.    0.    0.    0.],507.91933293159786,2.5178747177124023,[0.00e+00 7.00e+00 9.98e+03 1.20e+01 1.00e+00],36.80910286970221,0.21670961380004883,[6.365e+03 7.000e+00 1.907e+03 1.720e+03 1.000e+00]
6023.964828813109,28.640610218048096,[1.784e+03 6.889e+03 1.316e+03 1.000e+01 1.000e+00],754.7365768801858,3.456946611404419,[0.000e+00 2.741e+03 7.012e+03 2.460e+02 1.000e+00],not_converge,287.5304901599884,[9942.   58.    0.    0.    0.],505.6773052318646,2.207549810409546,[2.74e+02 7.20e+03 2.43e+03 9.50e+01 1.00e+00],72.50607157981466,0.431659460067749,[1.958e+03 3.000e+01 7.608e+03 4.030e+02 1.000e+00]
7735.323459999976,38.08377408981323,[6.650e+02 8.733e+03 5.800e+02 2.100e+01 1.000e+00],854.4107879523009,3.6587471961975098,[8.280e+02 6.157e+03 3.011e+03 3.000e+00 1.000e+00],not_converge,282.7711110115051,[9.581e+03 4.120e+02 7.000e+00 0.000e+00 0.000e+00],623.4639752169385,2.8807852268218994,[0.000e+00 1.435e+03 8.438e+03 1.260e+02 1.000e+00],59.296041996029565,0.37436556816101074,[1.556e+03 3.000e+00 1.174e+03 7.266e+03 1.000e+00]
6865.311568287374,33.928820848464966,[6.117e+03 1.320e+03 2.448e+03 1.140e+02 1.000e+00],444.1441917857291,2.023780107498169,[1.771e+03 1.100e+02 7.894e+03 2.240e+02 1.000e+00],not_converge,297.78084540367126,[9873.  127.    0.    0.    0.],596.8947589800346,2.809985876083374,[0.000e+00 7.030e+02 9.239e+03 5.700e+01 1.000e+00],100.39986704560128,0.6166572570800781,[3.666e+03 4.000e+00 1.032e+03 5.297e+03 1.000e+00]
3105.965709270512,14.410414934158325,[5.818e+03 2.828e+03 1.310e+03 4.300e+01 1.000e+00],757.4064218589346,3.5057544708251953,[7.000e+00 2.793e+03 7.000e+03 1.990e+02 1.000e+00],not_converge,258.034503698349,[9859.  141.    0.    0.    0.],477.4498905207051,2.1730825901031494,[0.000e+00 1.776e+03 7.976e+03 2.470e+02 1.000e+00],76.32023715913981,0.4735598564147949,[3.387e+03 7.000e+00 6.008e+03 5.970e+02 1.000e+00]
5183.311076706888,24.787158966064453,[5.112e+03 3.189e+03 1.617e+03 8.100e+01 1.000e+00],591.6023932053515,2.609658718109131,[1.363e+03 5.612e+03 2.981e+03 4.300e+01 1.000e+00],not_converge,284.8866307735443,[9984.   16.    0.    0.    0.],446.44345464631357,1.8002915382385254,[1.230e+02 5.571e+03 4.298e+03 7.000e+00 1.000e+00],77.04848981983201,0.46779632568359375,[4.550e+02 0.000e+00 2.771e+03 6.773e+03 1.000e+00]
4423.793105654058,21.30893635749817,[7.847e+03 1.735e+03 0.000e+00 4.170e+02 1.000e+00],660.8310524084259,2.9090170860290527,[1.340e+02 1.095e+03 8.601e+03 1.690e+02 1.000e+00],not_converge,297.38485312461853,[9952.   48.    0.    0.    0.],457.72869225920823,1.936927318572998,[1.216e+03 5.971e+03 2.808e+03 4.000e+00 1.000e+00],61.96537242424577,0.37814950942993164,[2.187e+03 0.000e+00 7.130e+03 6.820e+02 1.000e+00]
3285.270614644571,15.616809606552124,[7.551e+03 1.165e+03 1.135e+03 1.480e+02 1.000e+00],880.886313902264,3.91460919380188,[0.000e+00 7.608e+03 2.208e+03 1.830e+02 1.000e+00],not_converge,261.075142621994,[9940.   60.    0.    0.    0.],837.3526925522748,4.106778860092163,[0.000e+00 0.000e+00 9.898e+03 1.010e+02 1.000e+00],54.618660703739735,0.34444451332092285,[2.753e+03 6.000e+00 4.987e+03 2.253e+03 1.000e+00]
9772.799020664483,47.67273736000061,[5.124e+03 1.292e+03 3.100e+03 4.830e+02 1.000e+00],868.2521689418912,4.159035921096802,[0.000e+00 4.430e+02 9.456e+03 1.000e+02 1.000e+00],not_converge,245.143634557724,[9964.   36.    0.    0.    0.],630.1034767714758,2.964507818222046,[0.000e+00 2.380e+02 9.675e+03 8.600e+01 1.000e+00],52.875576176717956,0.3197951316833496,[8.060e+03 2.200e+01 1.852e+03 6.500e+01 1.000e+00]
