# data for comparison between different fitness landscapes with
# hybrid algorithm
#
# number of genotipic classes: 4
# population size: 10000
# 
flat_simul,flat_elpsd,flat_state,static_inc_simul,static_inc_elpsd,static_inc_state,static_dec_simul,static_dec_elpsd,static_dec_state,static_mount_simul,static_mount_elpsd,static_mount_state,static_mount+dynamic_simul,static_mount+dynamic_elpsd,static_mount+dynamic_state
4580.206343516813,22.86331844329834,[5.650e+03 3.971e+03 2.570e+02 1.210e+02 1.000e+00],602.8632537705619,2.8372442722320557,[5.380e+02 3.626e+03 5.545e+03 2.900e+02 1.000e+00],not_converge,288.8251745700836,[9832.  168.    0.    0.    0.],648.3043626629839,3.0251903533935547,[0.000e+00 9.040e+02 9.031e+03 6.400e+01 1.000e+00],407.3860595957952,2.303438186645508,[3.000e+01 4.400e+01 9.876e+03 4.900e+01 1.000e+00]
7237.875317877446,37.27246141433716,[5.857e+03 3.509e+03 5.240e+02 1.090e+02 1.000e+00],1594.5467445416527,7.77163290977478,[0.000e+00 2.125e+03 7.610e+03 2.640e+02 1.000e+00],not_converge,252.44653820991516,[9928.   72.    0.    0.    0.],336.83309562132547,1.6135988235473633,[5.030e+02 8.821e+03 4.840e+02 1.910e+02 1.000e+00],961.6896746635473,5.363627910614014,[0.000e+00 4.610e+02 9.502e+03 3.600e+01 1.000e+00]
4576.184924734193,24.035752058029175,[0.000e+00 6.597e+03 3.064e+03 3.380e+02 1.000e+00],1092.1050552734723,5.390983581542969,[0.000e+00 5.601e+03 4.078e+03 3.200e+02 1.000e+00],not_converge,300.7983343601227,[9867.  133.    0.    0.    0.],545.3914524836844,2.67851185798645,[0.000e+00 1.665e+03 8.119e+03 2.150e+02 1.000e+00],843.1402456273427,4.858625173568726,[0.000e+00 8.200e+01 9.902e+03 1.500e+01 1.000e+00]
4837.482037010255,23.15187954902649,[8.679e+03 1.228e+03 7.400e+01 1.800e+01 1.000e+00],1160.1517281851975,5.300634384155273,[0.000e+00 1.926e+03 7.929e+03 1.440e+02 1.000e+00],not_converge,293.8546962738037,[9885.  115.    0.    0.    0.],739.9620825462385,3.725675344467163,[0.00e+00 0.00e+00 9.95e+03 4.90e+01 1.00e+00],612.8955588431903,3.1909494400024414,[2.530e+02 4.186e+03 5.395e+03 1.650e+02 1.000e+00]
5935.897503578048,29.672788619995117,[1.353e+03 5.700e+03 2.898e+03 4.800e+01 1.000e+00],667.5479617754331,2.9888951778411865,[1.023e+03 7.099e+03 1.835e+03 4.200e+01 1.000e+00],not_converge,296.26227164268494,[9908.   92.    0.    0.    0.],634.7572721423413,2.841447353363037,[0.000e+00 4.146e+03 5.829e+03 2.400e+01 1.000e+00],696.9928250558984,3.9507293701171875,[0.000e+00 9.570e+02 8.963e+03 7.900e+01 1.000e+00]
9180.616467421693,48.07780122756958,[5.787e+03 4.092e+03 3.000e+00 1.170e+02 1.000e+00],1018.2622400718718,5.043583154678345,[0.000e+00 1.964e+03 8.022e+03 1.300e+01 1.000e+00],not_converge,253.22835159301758,[9929.   71.    0.    0.    0.],655.8392934663442,3.217613935470581,[0.000e+00 3.732e+03 6.252e+03 1.500e+01 1.000e+00],1164.3289469535764,7.19608473777771,[0.000e+00 0.000e+00 9.854e+03 1.450e+02 1.000e+00]
3465.1887370282243,16.867380380630493,[4.076e+03 5.088e+03 8.320e+02 3.000e+00 1.000e+00],1495.9226103255564,7.44983172416687,[0.000e+00 1.400e+03 8.192e+03 4.070e+02 1.000e+00],not_converge,293.5091254711151,[9969.   31.    0.    0.    0.],744.3321719089741,3.862704038619995,[0.000e+00 2.020e+02 9.704e+03 9.300e+01 1.000e+00],571.0677004074773,3.1775336265563965,[0.000e+00 3.951e+03 5.965e+03 8.300e+01 1.000e+00]
7500.085741798302,39.45537710189819,[2.976e+03 2.360e+03 4.531e+03 1.320e+02 1.000e+00],883.6448727338205,4.146805763244629,[6.400e+01 2.852e+03 7.078e+03 5.000e+00 1.000e+00],not_converge,261.4410719871521,[9958.   42.    0.    0.    0.],1026.6965362311628,5.162767171859741,[0.000e+00 1.080e+02 9.757e+03 1.340e+02 1.000e+00],497.0429173118163,2.969287157058716,[0.000e+00 3.790e+02 9.507e+03 1.130e+02 1.000e+00]
8722.076831332908,42.978320360183716,[3.269e+03 3.482e+03 3.202e+03 4.600e+01 1.000e+00],1104.1460062532062,5.229496240615845,[0.000e+00 9.650e+02 8.772e+03 2.620e+02 1.000e+00],not_converge,257.4322016239166,[9892.  108.    0.    0.    0.],1387.5035502587903,6.990403175354004,[0.000e+00 0.000e+00 9.987e+03 1.200e+01 1.000e+00],532.3987447653546,2.91606068611145,[3.460e+02 1.373e+03 8.079e+03 2.010e+02 1.000e+00]
4739.185792182493,24.38728976249695,[2.683e+03 4.038e+03 3.212e+03 6.600e+01 1.000e+00],783.2886906958275,3.5468554496765137,[4.571e+03 4.130e+03 1.265e+03 3.300e+01 1.000e+00],not_converge,277.0933310985565,[9882.  118.    0.    0.    0.],987.3915281711073,4.881452322006226,[0.000e+00 0.000e+00 9.926e+03 7.300e+01 1.000e+00],430.2862858883826,2.361929178237915,[2.000e+00 2.201e+03 7.586e+03 2.100e+02 1.000e+00]
