# data for comparison between different fitness landscapes with
# hybrid algorithm
#
# number of genotipic classes: 8
# population size: 10000
# 
flat_simul,flat_elpsd,flat_state,static_inc_simul,static_inc_elpsd,static_inc_state,static_dec_simul,static_dec_elpsd,static_dec_state,static_mount_simul,static_mount_elpsd,static_mount_state,dynamic_simul,dynamic_elpsd,dynamic_state
57844.98151221489,510.95267248153687,[0.000e+00 0.000e+00 0.000e+00 3.072e+03 2.678e+03 1.466e+03 2.708e+03
 7.500e+01 1.000e+00],1806.0488059270788,10.953654289245605,[0.000e+00 0.000e+00 0.000e+00 4.000e+01 1.462e+03 7.914e+03 9.800e+01
 4.850e+02 1.000e+00],not_converge,328.41639590263367,[9749.  251.    0.    0.    0.    0.    0.    0.    0.],not_converge,582.9483046531677,[   0.    0.    0.    0. 9908.   92.    0.    0.    0.],1789.4247630346222,20.9462833404541,[0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 9.986e+03
 1.300e+01 1.000e+00]
54142.61031971255,559.8338570594788,[0.000e+00 0.000e+00 0.000e+00 0.000e+00 9.128e+03 6.170e+02 2.120e+02
 4.200e+01 1.000e+00],2219.1563898618015,13.095030546188354,[0.000e+00 0.000e+00 0.000e+00 2.900e+01 1.166e+03 5.114e+03 3.305e+03
 3.850e+02 1.000e+00],not_converge,318.5320451259613,[9894.  106.    0.    0.    0.    0.    0.    0.    0.],not_converge,583.1271514892578,[   0.    0.    0.    0. 9900.  100.    0.    0.    0.],6868.305657361013,88.5306510925293,[0.000e+00 0.000e+00 0.000e+00 0.000e+00 2.100e+01 4.473e+03 5.488e+03
 1.700e+01 1.000e+00]
42673.2847500581,330.65746688842773,[0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 8.102e+03 1.885e+03
 1.200e+01 1.000e+00],1622.8875408394838,11.985389471054077,[0.000e+00 0.000e+00 0.000e+00 0.000e+00 2.440e+02 1.625e+03 7.707e+03
 4.230e+02 1.000e+00],not_converge,325.57736802101135,[9455.  545.    0.    0.    0.    0.    0.    0.    0.],not_converge,702.7433841228485,[   0.    0.    0.    0. 9986.   14.    0.    0.    0.],6421.535946445482,85.35817909240723,[4.701e+03 1.800e+01 0.000e+00 0.000e+00 0.000e+00 0.000e+00 5.139e+03
 1.410e+02 1.000e+00]
30653.8165250379,225.78570580482483,[0.000e+00 0.000e+00 0.000e+00 4.645e+03 2.646e+03 2.261e+03 3.320e+02
 1.150e+02 1.000e+00],1692.302887259162,10.766001462936401,[0.000e+00 0.000e+00 0.000e+00 0.000e+00 3.810e+02 4.149e+03 5.378e+03
 9.100e+01 1.000e+00],not_converge,314.39634799957275,[9943.   57.    0.    0.    0.    0.    0.    0.    0.],not_converge,584.1134676933289,[0.000e+00 0.000e+00 0.000e+00 0.000e+00 9.817e+03 1.810e+02 2.000e+00
 0.000e+00 0.000e+00],4514.006477205615,57.4600932598114,[1.511e+03 4.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 8.466e+03
 1.800e+01 1.000e+00]
not_converge,535.895592212677,[   0.    0. 9564.  436.    0.    0.    0.    0.    0.],2033.8444225791206,12.696739673614502,[0.000e+00 0.000e+00 0.000e+00 6.260e+02 4.893e+03 2.700e+02 4.044e+03
 1.660e+02 1.000e+00],not_converge,289.9562118053436,[9937.   63.    0.    0.    0.    0.    0.    0.    0.],not_converge,586.0100448131561,[   0.    0.    0.    0. 9872.  128.    0.    0.    0.],1887.2200442559106,25.164305210113525,[1.350e+02 3.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 9.731e+03
 1.300e+02 1.000e+00]
