# data for simulation time and efficiency comparision between
# hybrid algorithm with fixed and dynamic population
#
# fitness landscape: static increasing
# number of genotipic classes: 20
# population size: 1000
# 
fixed_simulation,fixed_elapsed,dynamic_simulation,dynamic_elapsed
3140.0221080799574,125.53645920753479,3194.197220801947,12.036599397659302
3400.3759520522144,111.32754421234131,3788.00966351445,14.223459720611572
3700.5152490161845,166.6311264038086,3681.6647331519043,13.945178508758545
2532.3064591142524,120.41589593887329,3424.537690978957,12.858288526535034
3808.4664105978777,131.59552526474,2702.266442241286,10.078789710998535
2390.4427902068364,78.3822410106659,3410.4253881533295,12.895334959030151
3590.3606139310264,162.88297772407532,4185.209960950697,15.828730583190918
2797.381150514937,104.60722708702087,3510.167879154409,13.280611753463745
4712.813250121525,145.75057744979858,3818.8054175240827,14.13070011138916
2680.1070382433795,139.8572132587433,3304.086587925021,12.224420309066772
3333.8990237168027,142.0579617023468,4100.865519400172,15.533747434616089
2734.7623342430684,89.47924637794495,3328.400046251318,12.404306888580322
3339.807907888222,115.59491848945618,3038.033963242784,11.327707529067993
3963.36755504494,142.1829798221588,2927.2213981286163,11.090164184570312
2901.2922814828185,103.47695255279541,4091.727596071895,15.494169235229492
2376.7917649335122,70.35497450828552,2559.689484131845,9.967496633529663
3047.520707999574,104.1008973121643,3485.4489063578135,13.155414819717407
2994.9771271765853,112.7362232208252,4542.260455437288,17.107417345046997
3454.908960987255,126.23984122276306,2522.0891767435355,9.87781572341919
3231.3504325277236,108.86438369750977,3559.702690974902,13.324464559555054
3827.905199087949,149.18280673027039,3244.3417035709463,11.974036455154419
3072.693239118238,98.98429322242737,3891.696676227818,14.55715012550354
3541.1000878177233,108.58135414123535,2861.393771569248,10.781029462814331
3499.8960720310465,162.71587443351746,3668.2437051879974,13.974627017974854
3063.800489637701,119.42558002471924,3174.6033400614347,12.12319302558899
4069.5310014987713,147.73516941070557,3804.5058481588185,14.244988679885864
3868.1984534286476,136.2231056690216,3759.995861465174,14.086798667907715
2848.7412027449373,96.558185338974,2828.5180350717155,10.925260066986084
3383.7836579366485,120.13431215286255,3460.8643460180083,12.938184976577759
2909.7783902590973,116.6617124080658,2683.254098614619,10.314221382141113
