# data for simulation time and efficiency comparision among
# spatial algorithm with different values of resolution
#
# fitness landscape: static increasing
# number of genotipic classes: 4
# population size: 1000000
# 
base_simul,base_elpsd,4_simul,4_elpsd,16_simul,16_elpsd,36_simul,36_elpsd,64_simul,64_elpsd
2065.5856096371076,6.4745001792907715,495.93331447817656,9.527642488479614,237.85063721929322,43.40174174308777,192.86527913003857,149.875501871109,62.99109717482411,174.95259737968445
2248.1258139731613,7.035608530044556,559.743285714532,11.405977010726929,289.6856323002973,50.2639594078064,110.46606848279183,89.68712162971497,112.26802385435866,270.05115485191345
1833.9883975167106,5.832722902297974,590.7020122486758,11.801578998565674,247.20533429026167,43.149258852005005,209.72501774342805,167.21785736083984,82.44977755970315,238.620676279068
2432.7852910478277,7.507072925567627,599.0004916823044,11.9837064743042,300.7424810185491,51.69416618347168,183.82893169593203,145.8729166984558,105.59409831465624,269.3017427921295
1955.2089578431141,6.227402925491333,688.8920208631015,13.711671590805054,219.75131567868183,36.17235589027405,137.91577448492907,103.4019558429718,82.36039241838733,211.34011101722717
1987.5116262698432,6.28574538230896,661.9743380810235,13.505652666091919,255.57873465395585,41.574204444885254,142.32856002666978,112.61289763450623,93.35310911754036,232.09246134757996
2160.7137426124054,7.049670934677124,712.967471819458,12.880633115768433,229.56716285631228,37.81163454055786,181.50514706868444,143.0353307723999,98.4477785327283,241.83947682380676
2121.483052746625,6.583205938339233,713.3080824023399,14.031919479370117,285.2903716089635,50.54621148109436,165.22804423683118,133.18975853919983,102.63555216292175,276.44710779190063
1714.7120887808992,5.4921510219573975,771.5993738016358,15.261452436447144,349.2172928844685,62.70888948440552,143.03322709237105,111.24457669258118,120.0544504643894,302.0694787502289
1734.788630477562,5.7290191650390625,606.0608461068282,11.504567861557007,206.61249780908133,37.49593639373779,169.8320038852035,134.37637400627136,104.50859099091907,267.8415524959564
1617.4506898032816,5.006546497344971,798.0796010721333,15.794066429138184,267.2274620077972,43.36788773536682,126.71878534905628,108.5852587223053,101.23203816593032,258.4802680015564
2155.6469635662847,6.812074184417725,490.53137471559495,9.4824538230896,166.85837639687173,27.794410467147827,119.59057232242372,97.8121600151062,102.81017374543404,276.1767210960388
2345.120307328275,7.417506456375122,532.7349089513835,11.000953197479248,402.79954291953834,76.01403832435608,123.04568744900033,95.93927335739136,81.44737212422294,228.55056476593018
1694.3702251746433,5.633010387420654,511.3139340504641,9.443036317825317,300.81004061107933,56.35180425643921,104.42285197457393,92.83603620529175,79.77013649726082,203.93332505226135
1878.0365486887536,6.103267192840576,742.8265568535874,14.609917879104614,205.12131938883113,32.322622299194336,144.51902686546447,117.13132953643799,143.0794440479359,379.07759070396423
2472.300848102805,7.966507196426392,720.7417271804615,14.366799592971802,318.31972795076484,52.51126456260681,146.59587267182417,119.56376314163208,92.377652882044,270.72641944885254
1885.3355087010889,5.94832181930542,565.1391114605045,11.111467361450195,234.42620248068044,39.299291372299194,
